First Term Gpa,Second Term Gpa,First Language,Funding,Fast Track,Coop,Residency,Gender,Prev Education,Age Group,Math Score,English Grade,FirstYearPersistence
3.047619,3.195652,English,GPOG_FT,N,Y,Domestic,Male,PostSecondary,19 to 20,34.0,Level-170,1
3.409091,2.37037,Other,Intl Regular,Y,N,International,Female,PostSecondary,21 to 25,32.55794871794872,Level-161,1
4.18,4.152174,Other,GPOG_FT,Y,Y,Domestic,Male,PostSecondary,26 to 30,32.55794871794872,Level-171,0
3.954545,3.045455,Other,GPOG_FT,N,N,Domestic,Male,HighSchool,0 to 18,35.0,Level-161,1
4.38,4.272727,English,GPOG_FT,N,Y,Domestic,Male,HighSchool,26 to 30,31.0,Level-170,1
3.0,3.45,English,Intl Regular,N,N,International,Male,HighSchool,21 to 25,32.55794871794872,Level-171,1
3.4,3.4,Other,GPOG_FT,N,Y,Domestic,Female,PostSecondary,21 to 25,33.0,Level-171,0
3.217391,3.25,Other,Intl Regular,Y,N,International,Female,PostSecondary,26 to 30,32.55794871794872,Level-161,1
3.145833,1.619048,Other,GPOG_FT,N,N,Domestic,Male,PostSecondary,26 to 30,38.0,Level-161,1
2.98,2.6,English,GPOG_FT,N,N,Domestic,Male,HighSchool,0 to 18,28.0,Level-170,1
3.131579,1.25,English,GPOG_FT,N,N,Domestic,Male,HighSchool,0 to 18,20.0,Level-170,1
3.909091,3.159091,Other,Intl Regular,N,Y,International,Male,HighSchool,26 to 30,49.0,Level-161,1
4.090909,3.840909,Other,Intl Regular,N,N,International,Male,PostSecondary,0 to 18,45.0,Level-161,1
4.176471,4.214286,English,GPOG_FT,N,N,Domestic,Female,PostSecondary,26 to 30,32.55794871794872,Level-161,1
3.026316,2.291667,English,GPOG_FT,N,Y,Domestic,Male,HighSchool,0 to 18,25.0,Level-160,1
3.619048,4.041667,Other,GPOG_FT,N,N,Domestic,Female,PostSecondary,21 to 25,32.55794871794872,Level-161,1
0.26087,2.318182,Other,Intl Regular,Y,Y,International,Male,HighSchool,21 to 25,43.0,Level-161,1
3.54,2.142857,English,GPOG_FT,N,N,Domestic,Male,HighSchool,0 to 18,31.0,Level-170,1
3.611111,3.851852,English,Second Career Program,Y,N,Domestic,Male,PostSecondary,41 to 50,32.55794871794872,Level-171,1
0.0,2.820175578700078,English,Intl Regular,Y,N,International,Male,PostSecondary,21 to 25,32.55794871794872,Level-161,0
3.56,3.7,English,GPOG_FT,N,Y,Domestic,Male,HighSchool,0 to 18,46.0,Level-170,1
2.846073103521127,2.820175578700078,French,GPOG_FT,N,Y,Domestic,Female,HighSchool,0 to 18,23.0,Level-161,0
3.475,3.045455,Other,Intl Regular,Y,N,International,Male,HighSchool,21 to 25,32.55794871794872,Level-161,1
3.145833,2.5,English,GPOG_FT,N,Y,Domestic,Male,HighSchool,0 to 18,28.0,Level-170,1
3.705882,3.673913,Other,Intl Regular,Y,N,International,Male,HighSchool,21 to 25,32.55794871794872,Level-161,1
3.840909,4.26087,English,GPOG_FT,N,Y,Domestic,Male,HighSchool,0 to 18,32.55794871794872,Level-170,1
0.714286,0.0,Other,Intl Regular,Y,Y,International,Male,HighSchool,21 to 25,32.55794871794872,Level-161,0
3.825,3.225,English,Intl Regular,N,N,International,Male,PostSecondary,21 to 25,32.55794871794872,Level-170,1
3.5,4.02,Other,Intl Regular,Y,N,International,Male,PostSecondary,21 to 25,32.55794871794872,Level-171,1
4.130435,4.02381,English,Intl Regular,N,N,International,Female,HighSchool,21 to 25,42.0,Level-161,1
2.921053,2.0,Other,Intl Regular,Y,Y,International,Male,HighSchool,21 to 25,32.55794871794872,Level-161,1
3.5,3.911765,English,Intl Regular,N,Y,International,Male,HighSchool,31 to 35,35.0,Level-170,1
1.94,2.5,English,GPOG_FT,N,N,Domestic,Male,HighSchool,0 to 18,36.0,Level-160,1
3.5,2.934783,English,GPOG_FT,N,N,Domestic,Male,HighSchool,0 to 18,28.0,Level-170,1
2.8,2.820175578700078,English,GPOG_FT,N,N,Domestic,Male,HighSchool,0 to 18,23.0,Level-170,0
2.97619,3.363636,English,Second Career Program,N,N,Domestic,Male,,36 to 40,30.0,Level-170,1
4.086957,3.590909,Other,Intl Regular,N,N,International,Female,HighSchool,21 to 25,32.55794871794872,Level-140,1
4.285714,3.886364,Other,Intl Regular,N,N,International,Male,HighSchool,19 to 20,44.0,Level-171,1
2.852941,2.880952,English,GPOG_FT,N,Y,Domestic,Male,PostSecondary,0 to 18,25.0,Level-160,1
2.404762,2.041667,English,GPOG_FT,N,N,Domestic,Male,,0 to 18,32.55794871794872,Level-170,1
3.055556,3.480769,Other,Intl Regular,Y,N,International,Male,HighSchool,21 to 25,32.55794871794872,Level-160,1
2.7,1.815789,English,GPOG_FT,N,Y,Domestic,Male,HighSchool,19 to 20,32.0,Level-170,1
3.666667,3.58,Other,Intl Regular,Y,N,International,Female,HighSchool,26 to 30,32.55794871794872,Level-170,1
2.847826,3.428571,Other,Intl Regular,N,N,International,Female,HighSchool,19 to 20,32.0,Level-161,1
2.921053,3.846154,English,GPOG_FT,N,Y,Domestic,Female,PostSecondary,21 to 25,43.0,Level-170,1
2.880952,2.666667,Other,Intl Regular,N,N,International,Male,PostSecondary,21 to 25,37.0,Level-141,1
0.230769,2.820175578700078,Other,Intl Regular,N,N,International,Male,HighSchool,19 to 20,39.0,Level-131,0
1.954545,3.125,English,GPOG_FT,N,N,Domestic,Male,HighSchool,21 to 25,33.0,Level-141,1
2.795455,2.543478,English,GPOG_FT,N,Y,Domestic,Male,HighSchool,0 to 18,32.55794871794872,Level-170,1
2.2,1.47619,English,GPOG_FT,N,N,Domestic,Male,HighSchool,0 to 18,23.0,Level-160,1
0.0,2.820175578700078,Other,Intl Regular,N,N,International,Male,,0 to 18,48.0,Level-161,0
2.388889,2.7,Other,GPOG_FT,N,N,Domestic,Male,HighSchool,19 to 20,34.0,Level-170,0
3.56,3.175,English,GPOG_FT,N,N,Domestic,Male,HighSchool,0 to 18,34.0,Level-170,1
3.458333,3.38,English,Intl Regular,N,Y,International,Female,HighSchool,19 to 20,32.55794871794872,Level-170,1
0.45,2.820175578700078,English,GPOG_FT,N,N,Domestic,Male,HighSchool,19 to 20,23.0,Level-160,0
2.1,2.820175578700078,English,GPOG_FT,N,N,Domestic,Male,,0 to 18,25.0,Level-170,0
0.375,0.0,Other,Intl Regular,N,N,International,Male,PostSecondary,0 to 18,37.0,Level-161,0
1.979167,1.605263,English,GPOG_FT,N,N,Domestic,Male,HighSchool,0 to 18,27.0,Level-170,1
4.086957,3.673077,English,Apprentice_PS,N,Y,Domestic,Male,HighSchool,0 to 18,31.0,Level-170,1
4.23913,2.820175578700078,English,GPOG_FT,N,N,Domestic,Female,PostSecondary,21 to 25,45.0,Level-170,0
2.23913,3.095238,Other,GPOG_FT,N,N,Domestic,Male,HighSchool,0 to 18,38.0,Level-161,1
3.652174,3.625,Other,Intl Regular,N,Y,International,Female,PostSecondary,0 to 18,47.0,Level-170,1
3.68,3.68,Other,Intl Regular,Y,N,International,Female,HighSchool,21 to 25,32.55794871794872,Level-161,1
4.043478,2.820175578700078,Other,Intl Regular,N,N,International,Female,HighSchool,19 to 20,46.0,Level-170,0
3.086957,2.875,English,GPOG_FT,N,N,Domestic,Male,HighSchool,0 to 18,31.0,Level-170,1
3.681818,2.021739,English,Intl Regular,N,Y,International,Male,HighSchool,31 to 35,22.0,Level-171,1
3.022727,2.820175578700078,English,GPOG_FT,N,N,Domestic,Male,HighSchool,0 to 18,16.0,Level-170,0
3.44,3.23913,English,GPOG_FT,N,N,Domestic,Male,HighSchool,0 to 18,24.0,Level-160,1
0.0,2.820175578700078,English,Intl Regular,N,N,International,Male,HighSchool,19 to 20,38.0,Level-141,0
2.545455,2.842105,English,GPOG_FT,N,Y,Domestic,Female,HighSchool,19 to 20,24.0,Level-160,1
1.34,0.3,English,GPOG_FT,N,N,Domestic,Male,HighSchool,0 to 18,20.0,Level-140,1
2.730769,3.882353,English,GPOG_FT,N,Y,Domestic,Female,HighSchool,21 to 25,29.0,Level-160,1
0.46,2.84375,Other,Intl Regular,N,N,International,Male,HighSchool,19 to 20,17.0,Level-160,1
2.275,1.233333,English,GPOG_FT,N,Y,Domestic,Male,HighSchool,21 to 25,24.0,Level-160,1
4.282609,4.238095,Other,GPOG_FT,N,N,Domestic,Male,PostSecondary,41 to 50,48.0,Level-161,1
3.916667,3.979167,English,GPOG_FT,N,Y,Domestic,Female,HighSchool,26 to 30,50.0,Level-161,1
3.464286,3.470588,Other,Intl Regular,N,N,International,Male,HighSchool,19 to 20,38.0,Level-161,1
4.275,4.363636,English,GPOG_FT,N,Y,Domestic,Male,PostSecondary,26 to 30,47.0,Level-170,1
3.82,3.6,English,GPOG_FT,N,N,Domestic,Male,PostSecondary,21 to 25,30.0,Level-170,0
2.26,2.076923,Other,Intl Regular,Y,N,International,Female,PostSecondary,21 to 25,32.55794871794872,Level-161,1
4.225,3.911765,English,GPOG_FT,N,N,Domestic,Male,PostSecondary,41 to 50,35.0,Level-161,1
1.727273,1.9,English,GPOG_FT,N,Y,Domestic,Male,HighSchool,21 to 25,37.0,Level-170,1
3.272727,2.608696,English,GPOG_FT,N,Y,Domestic,Male,PostSecondary,0 to 18,32.55794871794872,Level-170,1
3.979167,3.333333,English,Intl Regular,N,Y,International,Male,HighSchool,26 to 30,48.0,Level-170,1
4.214286,4.047619,Other,GPOG_FT,N,N,Domestic,Male,PostSecondary,31 to 35,49.0,Level-171,1
4.0,3.5,Other,Intl Regular,Y,Y,International,Male,HighSchool,21 to 25,32.55794871794872,Level-161,1
0.695652,2.820175578700078,English,GPOG_FT,N,Y,Domestic,Female,HighSchool,0 to 18,18.0,Level-141,0
2.0,0.0,English,GPOG_FT,N,N,Domestic,Male,HighSchool,0 to 18,33.0,Level-170,0
2.547619,2.891304,English,GPOG_FT,N,Y,Domestic,Male,HighSchool,19 to 20,27.0,Level-170,0
2.733333,3.02381,English,GPOG_FT,N,N,Domestic,Male,PostSecondary,21 to 25,41.0,Level-170,1
3.9,3.928571,Other,Intl Regular,Y,N,International,Female,HighSchool,21 to 25,32.55794871794872,Level-171,1
3.152174,2.865385,Other,Intl Regular,Y,N,International,Male,PostSecondary,21 to 25,32.55794871794872,Level-161,1
3.043478,2.730769,Other,Intl Regular,Y,N,International,Male,HighSchool,21 to 25,32.55794871794872,Level-161,1
2.416667,2.708333,Other,Intl Regular,Y,N,International,Male,HighSchool,26 to 30,32.55794871794872,Level-161,1
2.842105,0.736842,English,GPOG_FT,N,Y,Domestic,Male,HighSchool,0 to 18,23.0,Level-170,1
3.9,3.727273,Other,Intl Regular,Y,N,International,Male,PostSecondary,21 to 25,32.55794871794872,Level-161,1
0.0,2.820175578700078,English,GPOG_FT,N,Y,Domestic,Male,HighSchool,19 to 20,15.0,Level-140,0
1.730769,1.866667,English,Intl Regular,N,Y,International,Male,HighSchool,21 to 25,35.0,Level-171,1
2.891304,2.730769,English,Apprentice_PS,N,Y,Domestic,Male,HighSchool,0 to 18,20.0,Level-160,1
3.277778,2.5,English,GPOG_FT,N,Y,Domestic,Male,HighSchool,0 to 18,32.55794871794872,Level-170,1
3.4,2.820175578700078,English,GPOG_FT,N,N,Domestic,Male,PostSecondary,21 to 25,33.0,Level-170,0
3.586957,3.307692,Other,Intl Regular,Y,N,International,Female,HighSchool,26 to 30,32.55794871794872,Level-161,0
2.456522,2.380952,Other,Intl Regular,N,N,International,Male,HighSchool,0 to 18,37.0,Level-170,1
2.25,2.2,English,GPOG_FT,N,N,Domestic,Male,PostSecondary,19 to 20,32.55794871794872,Level-160,1
0.0,0.0,English,GPOG_FT,N,N,Domestic,Male,HighSchool,0 to 18,16.0,Level-170,0
2.456522,2.269231,Other,Intl Regular,Y,N,International,Male,HighSchool,21 to 25,32.55794871794872,Level-161,1
3.543478,3.038462,English,Apprentice_PS,N,Y,Domestic,Male,HighSchool,19 to 20,28.0,Level-160,1
4.152174,3.73913,English,GPOG_FT,N,Y,Domestic,Female,PostSecondary,26 to 30,25.0,Level-170,1
4.386364,4.363636,Other,Second Career Program,N,N,Domestic,Male,,41 to 50,49.0,Level-171,1
3.738095,3.125,Other,Intl Regular,Y,Y,International,Male,HighSchool,21 to 25,32.55794871794872,Level-161,1
4.285714,4.413043,Other,Intl Regular,N,Y,International,Male,HighSchool,21 to 25,47.0,Level-171,1
3.729167,3.653846,Other,Intl Regular,Y,N,International,Male,PostSecondary,21 to 25,32.55794871794872,Level-171,1
4.022727,4.0,Other,GPOG_FT,N,Y,Domestic,Male,HighSchool,21 to 25,45.0,Level-170,1
2.825,3.0,English,GPOG_FT,N,N,Domestic,Male,HighSchool,0 to 18,28.0,Level-170,1
4.25,4.175,English,Intl Regular,N,N,International,Male,,26 to 30,32.55794871794872,Level-171,1
3.875,3.979167,English,Intl Regular,N,N,International,Male,HighSchool,19 to 20,48.0,Level-161,1
3.571429,2.717391,English,GPOG_FT,N,N,Domestic,Male,HighSchool,0 to 18,27.0,Level-170,1
0.0,1.0,English,GPOG_FT,N,N,Domestic,Male,HighSchool,0 to 18,34.0,Level-170,0
4.23913,2.820175578700078,English,GPOG_FT,N,Y,Domestic,Male,HighSchool,0 to 18,45.0,Level-171,0
2.227273,2.62963,English,GPOG_FT,N,Y,Domestic,Male,PostSecondary,19 to 20,33.0,Level-170,1
3.479167,3.473684,Other,GPOG_FT,N,N,Domestic,Male,HighSchool,21 to 25,16.0,Level-170,1
4.4375,4.384615,English,Second Career Program,Y,Y,Domestic,Male,PostSecondary,41 to 50,48.0,Level-170,1
3.64,3.047619,English,GPOG_FT,N,N,Domestic,Male,PostSecondary,26 to 30,32.55794871794872,Level-170,1
2.7,3.204545,Other,Intl Regular,Y,N,International,Female,HighSchool,21 to 25,32.55794871794872,Level-161,1
3.3125,3.888889,English,GPOG_FT,N,N,Domestic,Male,HighSchool,21 to 25,32.55794871794872,Level-160,1
1.6,2.0,Other,Intl Regular,N,N,International,Male,HighSchool,21 to 25,25.0,Level-161,1
0.357143,0.0,English,GPOG_FT,N,N,Domestic,Male,,21 to 25,26.0,Level-141,1
3.695652,3.596154,Other,GPOG_FT,Y,N,Domestic,Female,PostSecondary,26 to 30,32.55794871794872,Level-161,1
3.717391,3.152174,Other,GPOG_FT,N,Y,Domestic,Male,HighSchool,0 to 18,44.0,Level-170,1
2.5,2.26,Other,Intl Regular,Y,N,International,Male,HighSchool,0 to 18,32.55794871794872,Level-160,1
4.041667,4.041667,English,Intl Regular,N,N,International,Male,HighSchool,26 to 30,48.0,Level-161,1
4.066667,3.431034,Other,GPOG_FT,N,N,Domestic,Male,PostSecondary,21 to 25,31.0,Level-170,1
3.72,2.761905,English,GPOG_FT,N,Y,Domestic,Male,PostSecondary,19 to 20,26.0,Level-170,1
0.84,0.0,English,GPOG_FT,N,N,Domestic,Male,HighSchool,0 to 18,32.55794871794872,Level-160,1
4.065217,3.461538,Other,GPOG_FT,N,N,Domestic,Female,PostSecondary,0 to 18,40.0,Level-141,1
0.0,2.820175578700078,English,GPOG_FT,N,N,Domestic,Male,,19 to 20,9.0,Level-160,0
2.673913,3.138889,Other,Intl Regular,N,N,International,Male,HighSchool,19 to 20,42.0,Level-171,1
1.230769,3.0,English,GPOG_FT,N,Y,Domestic,Male,HighSchool,19 to 20,37.0,Level-170,0
2.340909,2.136364,French,GPOG_FT,N,Y,Domestic,Male,HighSchool,0 to 18,32.55794871794872,Level-170,1
3.52381,3.404762,Other,Second Career Program,N,N,Domestic,Male,,41 to 50,32.55794871794872,Level-141,1
0.0,0.0,English,GPOG_FT,N,N,Domestic,Male,HighSchool,0 to 18,28.0,Level-130,0
3.3,2.727273,English,GPOG_FT,N,N,Domestic,Male,PostSecondary,21 to 25,33.0,Level-160,1
3.1,2.47619,English,GPOG_FT,N,N,Domestic,Male,HighSchool,0 to 18,19.0,Level-160,1
3.0,3.275,English,GPOG_FT,N,N,Domestic,Male,HighSchool,19 to 20,24.0,Level-170,1
3.934783,3.590909,English,Intl Regular,N,N,International,Male,HighSchool,21 to 25,48.0,Level-161,1
2.846073103521127,2.820175578700078,English,GPOG_FT,N,N,Domestic,Female,HighSchool,21 to 25,30.0,Level-170,0
4.083333,4.277778,Other,Intl Regular,Y,Y,International,Male,PostSecondary,21 to 25,32.55794871794872,Level-170,0
1.809524,1.954545,English,GPOG_FT,N,N,Domestic,Male,PostSecondary,41 to 50,18.0,Level-170,1
0.944444,0.0,Other,Intl Regular,Y,N,International,Female,HighSchool,21 to 25,32.55794871794872,Level-161,0
3.175,2.952381,Other,Intl Regular,Y,N,International,Male,HighSchool,21 to 25,32.55794871794872,Level-170,1
0.0,2.820175578700078,English,GPOG_FT,N,N,Domestic,Male,HighSchool,19 to 20,22.0,Level-170,0
2.227273,2.590909,English,GPOG_FT,N,N,Domestic,Female,HighSchool,21 to 25,29.0,Level-170,1
2.425,2.767857,Other,Intl Regular,Y,N,International,Male,PostSecondary,21 to 25,32.55794871794872,Level-141,1
4.166667,3.978261,English,GPOG_FT,Y,Y,Domestic,Female,PostSecondary,26 to 30,32.55794871794872,Level-170,0
2.92,1.777778,English,GPOG_FT,N,N,Domestic,Male,PostSecondary,26 to 30,31.0,Level-170,0
3.020833,2.130435,Other,Intl Regular,N,N,International,Male,PostSecondary,21 to 25,34.0,Level-161,1
2.409091,2.826087,English,GPOG_FT,N,Y,Domestic,Female,PostSecondary,21 to 25,27.0,Level-141,1
3.35,4.5,English,GPOG_FT,N,Y,Domestic,Male,HighSchool,21 to 25,21.0,Level-170,0
0.795455,2.820175578700078,English,GPOG_FT,N,Y,Domestic,Male,HighSchool,19 to 20,23.0,Level-160,0
3.23913,3.25,English,GPOG_FT,N,N,Domestic,Male,PostSecondary,19 to 20,46.0,Level-170,1
3.108696,2.6,English,GPOG_FT,Y,N,Domestic,Male,PostSecondary,41 to 50,32.55794871794872,Level-170,1
4.285714,4.16,English,Intl Regular,N,N,International,Male,HighSchool,0 to 18,50.0,Level-161,1
4.264706,4.166667,English,GPOG_FT,N,N,Domestic,Female,PostSecondary,21 to 25,32.55794871794872,Level-170,1
2.104167,2.958333,Other,Intl Regular,N,N,International,Male,HighSchool,19 to 20,48.0,Level-161,1
3.565217,1.86,Other,Intl Regular,Y,N,International,Female,HighSchool,21 to 25,32.55794871794872,Level-171,1
2.090909,1.53125,English,GPOG_FT,N,Y,Domestic,Female,HighSchool,21 to 25,19.0,Level-141,1
0.0,2.820175578700078,English,GPOG_FT,N,Y,Domestic,Female,HighSchool,19 to 20,18.0,Level-170,0
2.045455,2.820175578700078,English,GPOG_FT,N,N,Domestic,Male,PostSecondary,0 to 18,28.0,Level-170,0
4.166667,4.413043,Other,GPOG_FT,N,N,Domestic,Male,PostSecondary,36 to 40,32.55794871794872,Level-170,0
2.047619,2.368421,English,GPOG_FT,N,N,Domestic,Female,,21 to 25,29.0,Level-170,1
3.130435,2.480769,English,Apprentice_PS,N,Y,Domestic,Male,HighSchool,0 to 18,28.0,Level-170,1
2.525,3.388889,English,Intl Regular,N,N,International,Male,HighSchool,19 to 20,42.0,Level-141,1
2.846073103521127,2.820175578700078,English,GPOG_FT,N,Y,Domestic,Male,HighSchool,26 to 30,20.0,Level-160,0
2.227273,1.394737,English,GPOG_FT,N,Y,Domestic,Male,HighSchool,0 to 18,32.55794871794872,Level-170,0
3.325,3.375,Other,GPOG_FT,N,N,Domestic,Male,PostSecondary,36 to 40,29.0,Level-160,1
3.854167,3.791667,Other,GPOG_FT,N,Y,Domestic,Male,,21 to 25,48.0,Level-141,1
2.44,2.788462,Other,Intl Regular,Y,N,International,Female,PostSecondary,21 to 25,32.55794871794872,Level-161,1
3.263158,2.565217,English,GPOG_FT,N,N,Domestic,Male,HighSchool,19 to 20,32.55794871794872,Level-161,1
3.217391,3.272727,English,GPOG_FT,N,Y,Domestic,Female,HighSchool,19 to 20,27.0,Level-170,1
2.47619,1.681818,English,GPOG_FT,N,N,Domestic,Male,,26 to 30,29.0,Level-141,1
4.0,3.884615,English,GPOG_FT,N,Y,Domestic,Male,HighSchool,0 to 18,45.0,Level-170,1
4.309524,4.142857,English,GPOG_FT,N,N,Domestic,Female,PostSecondary,21 to 25,32.55794871794872,Level-170,1
3.833333,3.28,English,GPOG_FT,N,N,Domestic,Male,PostSecondary,41 to 50,46.0,Level-161,1
4.0,4.083333,English,GPOG_FT,Y,Y,Domestic,Male,PostSecondary,21 to 25,32.55794871794872,Level-170,0
2.545455,1.025,Other,GPOG_FT,N,N,Domestic,Male,HighSchool,19 to 20,32.55794871794872,Level-161,0
1.54,0.3,English,GPOG_FT,N,N,Domestic,Male,HighSchool,0 to 18,26.0,Level-170,1
4.113636,3.895833,Other,Intl Regular,Y,N,International,Male,PostSecondary,21 to 25,32.55794871794872,Level-171,1
4.021739,4.315789,English,GPOG_FT,N,N,Domestic,Female,PostSecondary,21 to 25,30.0,Level-170,1
2.928571,3.125,English,GPOG_FT,N,Y,Domestic,Male,HighSchool,0 to 18,37.0,Level-170,1
3.1,3.295455,Other,Intl Regular,Y,N,International,Male,HighSchool,26 to 30,32.55794871794872,Level-160,1
2.071429,2.820175578700078,Other,GPOG_FT,N,Y,Domestic,Male,PostSecondary,19 to 20,21.0,Level-161,0
4.065217,3.952381,Other,Intl Regular,N,N,International,Male,HighSchool,21 to 25,47.0,Level-141,1
3.88,3.788462,Other,Intl Regular,Y,N,International,Male,PostSecondary,21 to 25,32.55794871794872,Level-161,1
2.804348,3.25,Other,GPOG_FT,N,N,Domestic,Male,HighSchool,0 to 18,21.0,Level-161,1
3.0625,2.820175578700078,English,GPOG_FT,N,Y,Domestic,Male,PostSecondary,19 to 20,34.0,Level-170,0
2.475,1.586957,English,GPOG_FT,N,Y,Domestic,Male,HighSchool,19 to 20,33.0,Level-170,1
3.94,3.148148,Other,Intl Regular,Y,Y,International,Male,PostSecondary,21 to 25,32.55794871794872,Level-171,1
2.44,1.636364,Other,Intl Regular,Y,N,International,Male,HighSchool,21 to 25,32.55794871794872,Level-161,1
2.166667,2.033333,Other,Intl Regular,Y,N,International,Female,HighSchool,21 to 25,32.55794871794872,Level-170,1
4.357143,4.409091,English,Second Career Program,N,N,Domestic,Male,,31 to 35,34.0,Level-170,1
4.111111,3.5,English,GPOG_FT,N,Y,Domestic,Male,PostSecondary,26 to 30,47.0,Level-171,1
3.23913,3.309524,Other,Intl Regular,N,N,International,Female,PostSecondary,0 to 18,26.0,Level-161,1
2.478261,2.576923,Other,Intl Regular,Y,N,International,Male,HighSchool,26 to 30,32.55794871794872,Level-160,1
2.565217,2.0,English,Intl Regular,N,N,International,Male,HighSchool,19 to 20,42.0,Level-160,1
3.869565,2.782609,Other,Second Career Program,N,N,Domestic,Male,,41 to 50,38.0,Level-161,1
2.98,3.673077,Other,Intl Regular,Y,Y,International,Male,PostSecondary,21 to 25,32.55794871794872,Level-171,1
3.684211,0.136364,English,GPOG_FT,N,N,Domestic,Male,PostSecondary,21 to 25,29.0,Level-170,0
3.82,4.083333,English,Apprentice_PS,N,Y,Domestic,Male,PostSecondary,21 to 25,29.0,Level-160,1
2.583333,2.875,Other,Intl Regular,Y,N,International,Male,PostSecondary,21 to 25,32.55794871794872,Level-161,1
3.652174,4.0,Other,Intl Regular,N,N,International,Female,HighSchool,0 to 18,46.0,Level-170,1
3.416667,3.886364,Other,Intl Regular,Y,Y,International,Male,PostSecondary,21 to 25,32.55794871794872,Level-171,1
3.907407,4.25,English,Intl Regular,Y,Y,International,Male,HighSchool,21 to 25,48.0,Level-161,1
0.0,2.820175578700078,English,GPOG_FT,N,N,Domestic,Male,,21 to 25,32.55794871794872,Level-170,0
3.1875,4.020833,Other,Intl Regular,N,N,International,Male,HighSchool,0 to 18,42.0,Level-161,1
4.217391,4.24,Other,Intl Regular,Y,N,International,Female,HighSchool,21 to 25,32.55794871794872,Level-170,1
4.285714,4.409091,English,GPOG_FT,N,Y,Domestic,Male,HighSchool,26 to 30,45.0,Level-170,1
0.214286,2.820175578700078,English,GPOG_FT,N,N,Domestic,Male,HighSchool,0 to 18,18.0,Level-160,0
1.956522,0.0,English,GPOG_FT,N,N,Domestic,Male,PostSecondary,21 to 25,34.0,Level-170,0
4.166667,4.309524,English,GPOG_FT,N,N,Domestic,Female,PostSecondary,21 to 25,32.55794871794872,Level-170,1
3.782609,3.227273,Other,Intl Regular,Y,N,International,Male,PostSecondary,21 to 25,32.55794871794872,Level-161,1
2.605263,1.880952,English,GPOG_FT,N,N,Domestic,Male,HighSchool,21 to 25,23.0,Level-160,1
0.5,1.375,English,GPOG_FT,N,N,Domestic,Male,HighSchool,0 to 18,31.0,Level-160,0
3.886364,4.333333,English,GPOG_FT,N,Y,Domestic,Male,HighSchool,26 to 30,48.0,Level-170,1
3.291667,3.863636,English,GPOG_FT,N,N,Domestic,Male,HighSchool,21 to 25,19.0,Level-160,1
1.47619,1.333333,English,GPOG_FT,N,N,Domestic,Male,HighSchool,19 to 20,36.0,Level-161,1
2.772727,2.678571,English,GPOG_FT,N,N,Domestic,Male,,21 to 25,25.0,Level-161,1
3.804348,4.096154,Other,Intl Regular,N,N,International,Female,HighSchool,0 to 18,46.0,Level-161,1
3.54,3.565217,Other,Intl Regular,Y,N,International,Female,HighSchool,21 to 25,32.55794871794872,Level-161,1
4.2,3.956522,Other,GPOG_FT,N,N,Domestic,Male,PostSecondary,21 to 25,49.0,Level-161,1
4.16,2.820175578700078,Other,GPOG_FT,N,N,Domestic,Male,PostSecondary,41 to 50,48.0,Level-141,0
3.3125,3.0,English,GPOG_FT,N,N,Domestic,Male,PostSecondary,36 to 40,39.0,Level-161,1
2.5,0.6,English,GPOG_FT,N,N,Domestic,Male,HighSchool,0 to 18,18.0,Level-160,1
3.666667,2.892857,Other,Intl Regular,Y,N,International,Male,HighSchool,21 to 25,32.55794871794872,Level-160,1
3.5,1.275,English,GPOG_FT,N,N,Domestic,Male,HighSchool,21 to 25,44.0,Level-170,0
2.6875,1.294118,English,GPOG_FT,N,N,Domestic,Male,PostSecondary,21 to 25,28.0,Level-170,1
2.291667,0.0,Other,GPOG_FT,N,N,Domestic,Male,HighSchool,19 to 20,18.0,Level-160,1
3.142857,2.466667,English,GPOG_FT,N,Y,Domestic,Male,HighSchool,19 to 20,21.0,Level-170,1
0.0,2.820175578700078,Other,Intl Regular,N,N,International,Male,HighSchool,19 to 20,33.0,Level-141,0
3.18,3.521739,English,GPOG_FT,N,N,Domestic,Male,HighSchool,19 to 20,31.0,Level-160,1
3.934783,3.9,Other,Intl Regular,Y,N,International,Female,PostSecondary,21 to 25,32.55794871794872,Level-171,1
2.638889,2.038462,Other,Intl Regular,Y,N,International,Male,HighSchool,21 to 25,32.55794871794872,Level-161,1
4.119048,3.386364,Other,GPOG_FT,N,Y,Domestic,Male,,19 to 20,49.0,Level-170,1
2.916667,2.980769,Other,Intl Regular,Y,Y,International,Male,PostSecondary,21 to 25,32.55794871794872,Level-171,1
3.7,2.583333,English,GPOG_FT,N,N,Domestic,Male,HighSchool,21 to 25,27.0,Level-170,1
3.68,3.454545,Other,Intl Regular,Y,N,International,Male,PostSecondary,21 to 25,32.55794871794872,Level-171,1
3.26087,3.4,English,GPOG_FT,N,Y,Domestic,Male,HighSchool,0 to 18,34.0,Level-170,1
2.588235,1.225,English,GPOG_FT,N,N,Domestic,Male,HighSchool,0 to 18,31.0,Level-160,0
0.0,2.820175578700078,English,GPOG_FT,N,N,Domestic,Male,,21 to 25,39.0,Level-141,0
3.818182,3.078947,English,GPOG_FT,N,N,Domestic,Male,PostSecondary,0 to 18,35.0,Level-170,1
0.0,0.0,English,GPOG_FT,N,N,Domestic,Male,HighSchool,21 to 25,19.0,Level-170,1
